train_loss,train_acc,val_loss,val_acc,val_iou Global,val_iou Clases
0.3097711409330368,89.02686579563654,0.46225566864013673,93.35510002732768,"tensor(0.8139, device='cuda:0')","[0.8676773905754089, 0.9395632743835449, 0.6343193650245667]"
0.26452754851182303,90.46010895620698,0.457261500639074,93.589139961902,"tensor(0.8187, device='cuda:0')","[0.8788020014762878, 0.9400323033332825, 0.6373496055603027]"
0.24952500168482464,90.97376051216436,0.4518135842155008,93.69722995836548,"tensor(0.8217, device='cuda:0')","[0.8816871643066406, 0.9412713646888733, 0.6421932578086853]"
0.2410849850575129,91.27488933449654,0.4569796288714689,93.52110158661266,"tensor(0.8191, device='cuda:0')","[0.8723076581954956, 0.9406256675720215, 0.644267737865448]"
0.23841643595695497,91.39317244342658,0.46483971055816203,93.34060329861111,"tensor(0.8164, device='cuda:0')","[0.8680292963981628, 0.9388226270675659, 0.6422866582870483]"
0.21902074488004047,92.89515702404152,0.42236691117286684,93.87108671714249,"tensor(0.8253, device='cuda:0')","[0.8806195259094238, 0.9453132152557373, 0.6500055193901062]"
0.196975848476092,93.79212673104492,0.41280361764571244,94.20096289866255,"tensor(0.8315, device='cuda:0')","[0.8893133997917175, 0.9477270841598511, 0.6574031710624695]"
0.18723094427585601,94.16299969465346,0.4199872258831473,94.26815431696888,"tensor(0.8318, device='cuda:0')","[0.8902309536933899, 0.9487600326538086, 0.6563741564750671]"
0.1832036782503128,94.2987793674398,0.41886183584437653,94.26480014628343,"tensor(0.8343, device='cuda:0')","[0.8920384049415588, 0.9478941559791565, 0.6628316044807434]"
0.17442505065600078,94.56853490040737,0.4149714280577267,94.39253743489583,"tensor(0.8358, device='cuda:0')","[0.894172191619873, 0.9492835402488708, 0.6639774441719055]"
0.17442957492669423,94.72460851103358,0.44396919573054594,94.3597296569573,"tensor(0.8346, device='cuda:0')","[0.8921531438827515, 0.9495325088500977, 0.6622326970100403]"
0.1691389294862747,94.9373819532379,0.445921595657573,94.40785499855325,"tensor(0.8362, device='cuda:0')","[0.8928046822547913, 0.9502192139625549, 0.6655542254447937]"
0.16774620195229847,94.96911032827612,0.44718756114735325,94.41426042470422,"tensor(0.8364, device='cuda:0')","[0.8942806720733643, 0.9496334791183472, 0.6651515364646912]"
0.1631894605954488,95.16746751830053,0.4505490639630486,94.41681134259258,"tensor(0.8366, device='cuda:0')","[0.8953381776809692, 0.9494150876998901, 0.6649847030639648]"
0.16091978061199189,95.21259099149546,0.4539173196343815,94.45741001961161,"tensor(0.8366, device='cuda:0')","[0.8951385021209717, 0.9500632286071777, 0.6645225286483765]"
0.15902602195739746,95.30457785768608,0.45232898487764245,94.46020407343107,"tensor(0.8370, device='cuda:0')","[0.8953054547309875, 0.9500719904899597, 0.6654918193817139]"
0.15725177725156148,95.37479424029144,0.4498046548927532,94.4924115467464,"tensor(0.8376, device='cuda:0')","[0.8959953188896179, 0.9504320025444031, 0.666435182094574]"
0.15800646404425303,95.35132262492647,0.45295553312582126,94.46142929767876,"tensor(0.8371, device='cuda:0')","[0.895732581615448, 0.9499481320381165, 0.665492594242096]"
0.1571588050921758,95.36916703704138,0.45508862242979164,94.46675367316101,"tensor(0.8370, device='cuda:0')","[0.8956493735313416, 0.9500443339347839, 0.6652718186378479]"
0.1565853151679039,95.37269233665589,0.4534593708374921,94.48823001060957,"tensor(0.8375, device='cuda:0')","[0.8959923982620239, 0.9503359198570251, 0.6662464737892151]"
