epoch,train_loss,val_loss,dice_loss,boundary_loss,w_dice,w_boundary,acc_pos,acc_neg,iou_pos,iou_neg,score,grad_norm,lr
1,0.963876,0.982059,0.973141,-0.092644,1.0000,0.1000,60.56,99.47,0.693725,0.998592,0.907132,0.0398,5.00e-06
2,0.888856,0.922774,0.952779,-0.054957,0.9444,0.2000,79.44,99.73,0.884782,0.999787,0.965285,0.1502,4.88e-06
3,0.819517,0.866713,0.931102,-0.027096,0.8889,0.3000,90.83,99.86,0.929937,0.999731,0.978793,0.2400,4.53e-06
4,0.738304,0.808515,0.899050,-0.027260,0.8333,0.4000,91.87,99.93,0.892406,0.998964,0.966997,0.3066,3.99e-06
5,0.659374,0.749497,0.882663,-0.054284,0.7778,0.5000,82.55,99.88,0.778094,0.999014,0.932738,0.2117,3.31e-06
6,0.591905,0.689955,0.879643,-0.072320,0.7222,0.6000,73.04,99.77,0.671199,0.997546,0.899642,0.1792,2.55e-06
7,0.531623,0.631939,0.879423,-0.078084,0.6667,0.7000,68.79,99.84,0.668989,0.998297,0.899504,0.2044,1.79e-06
8,0.470537,0.572552,0.870554,-0.076835,0.6111,0.8000,68.50,99.81,0.653653,0.998716,0.895197,0.1328,1.11e-06
