train_loss,train_acc,val_loss,val_acc,val_iou Global,val_iou Clases
0.5469789093410646,77.89082725753175,0.443756324549516,82.44065363604324,"tensor(0.6052, device='cuda:0')","[0.650252103805542, 0.8127344846725464, 0.35259103775024414]"
0.3688280739091538,85.7087672876964,0.35397591903096154,86.23991619674185,"tensor(0.6630, device='cuda:0')","[0.7316420674324036, 0.8468994498252869, 0.41033703088760376]"
0.3141162441791715,87.91123709809851,0.2998849685703005,88.35138383067043,"tensor(0.7032, device='cuda:0')","[0.780992329120636, 0.8778939247131348, 0.4508311450481415]"
0.29275275746712814,88.75805928355463,0.3082928237106119,88.26945904801066,"tensor(0.7035, device='cuda:0')","[0.7732397317886353, 0.8741411566734314, 0.463214248418808]"
0.2671869678674517,89.75073264211913,0.2747196006987776,89.42728933335944,"tensor(0.7283, device='cuda:0')","[0.8033560514450073, 0.8912351727485657, 0.490313321352005]"
0.2670854241864101,90.8005933083371,0.28296889684029986,90.12457086727235,"tensor(0.7415, device='cuda:0')","[0.8153550624847412, 0.8986055850982666, 0.5104922652244568]"
0.24891777388952874,91.57587882182308,0.2824482914237749,90.23460955448516,"tensor(0.7443, device='cuda:0')","[0.8173627257347107, 0.9001941680908203, 0.5152144432067871]"
0.24075735634243167,91.91252290171943,0.27158930542923154,90.60917063165726,"tensor(0.7547, device='cuda:0')","[0.8270405530929565, 0.905225396156311, 0.531936526298523]"
0.23145974991289345,92.25949872581425,0.276158514299563,90.53443749347326,"tensor(0.7533, device='cuda:0')","[0.8256807923316956, 0.9022719860076904, 0.5319837927818298]"
0.22093055054948135,92.68085374776231,0.27529105437653406,90.56427486359127,"tensor(0.7551, device='cuda:0')","[0.826343834400177, 0.9033210873603821, 0.5357565879821777]"
0.20019915132103738,93.68704504902928,0.24133477076178506,91.78811286027569,"tensor(0.7764, device='cuda:0')","[0.8497902750968933, 0.9189227223396301, 0.5605416297912598]"
0.19018132207361427,94.0495150481072,0.24068134810243333,91.84417342183583,"tensor(0.7775, device='cuda:0')","[0.8508004546165466, 0.9195531606674194, 0.5621522665023804]"
0.18510460877740706,94.24885388622246,0.24075328239372798,91.87846120835944,"tensor(0.7779, device='cuda:0')","[0.8515245914459229, 0.9199460744857788, 0.5621991157531738]"
0.18078414346720723,94.41957566957154,0.24130080516139665,91.88973410087719,"tensor(0.7780, device='cuda:0')","[0.8519467711448669, 0.9201631546020508, 0.5618868470191956]"
0.17668895959048658,94.57371765788274,0.24248724288883663,91.87573017831035,"tensor(0.7775, device='cuda:0')","[0.851761519908905, 0.9199779629707336, 0.5609105229377747]"
0.17276891679377168,94.71526810538946,0.24412017457541965,91.84360233265456,"tensor(0.7769, device='cuda:0')","[0.8512210249900818, 0.9196390509605408, 0.5597491264343262]"
0.16890547722578048,94.8533396132278,0.24691200433742433,91.77891016604009,"tensor(0.7754, device='cuda:0')","[0.8501436114311218, 0.9188833236694336, 0.557229220867157]"
0.16512510530851982,94.98440781637629,0.24951162685950598,91.71888869308688,"tensor(0.7740, device='cuda:0')","[0.8491335511207581, 0.9183486104011536, 0.5545657873153687]"
0.16138974049606838,95.1113758078555,0.25346154826028006,91.60133610393171,"tensor(0.7720, device='cuda:0')","[0.8472557067871094, 0.9168835878372192, 0.5519380569458008]"
0.15793764526779588,95.22603261096194,0.2564585529977367,91.52778185698621,"tensor(0.7705, device='cuda:0')","[0.8460080027580261, 0.9159820079803467, 0.5494078993797302]"
